A9.035,CAI,1
A9.040,ICW,2
,,
,,
,,
TRAINING HOURS,,4
,,
DAY 92,,
EVENT,TYPE,HOURS
A9.120,ICW,2
A9.130,ICW,2
A9.140,CAI,2
A9.075,CAI,1.5
,,
A9.150,DTTT 2,
TRAINING HOURS,,7.5
,,
DAY 97,,
EVENT,TYPE,HOURS
A9.280,MSN PLN,3
A9.290,NATS 240 1,3
,,
,,
,,
,,
TRAINING HOURS,,6
,,
DAY 102,,
EVENT,TYPE,HOURS
A9.360,MSN PLN,3
A9.370,AC GUNNEX,5
,,
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 107,,
EVENT,TYPE,HOURS
A10.100,MSN PLN,3
A10.110,CST 2,4
,,
TRAINING HOURS,,7
,,
DAY 112,,
EVENT,TYPE,HOURS
A10.180,MSN PLN,3
A10.190,AC SUW 6,5
,,
,,
TRAINING HOURS,,8
,,
DAY 117,,
EVENT,TYPE,HOURS
A11.110,IMAT,2
A11.120,IMAT,2
A11.130,IMAT,3
A11.140,IMAT,1
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 122,,
EVENT,TYPE,HOURS
A12.150,MSN PLN,3
A12.160,WTT 10,4
,,
,,
TRAINING HOURS,,7
,,
DAY 127,,
EVENT,TYPE,HOURS
A13.020,IMAT,3
A13.030,IMAT,2
A13.040,IMAT,2
,,
,,
TRAINING HOURS,,7
,,
DAY 132,,
EVENT,TYPE,HOURS
A13.160,ASW,2
,CHALK TALK,
,,
TRAINING HOURS,,2
,,
DAY 137,,
EVENT,TYPE,HOURS
A13.190,MSN PLN,3
A13.200,CST 7,4
,,
,,
TRAINING HOURS,,7
,,
DAY 142,,
EVENT,TYPE,HOURS
A14.180,MSN PLN,3
A14.190,WTT 23,4
,,
,,
TRAINING HOURS,,7
,,
DAY 147,,
EVENT,TYPE,HOURS
A15.070,MSN PLN,3
A15.080,WTT 26,4
,,
TRAINING HOURS,,7
,,
DAY 152,,
EVENT,TYPE,HOURS
A16.070,MSN PLN,3
A16.080,AC DIP 3,5
,,
TRAINING HOURS,,8
,,
DAY 157,,
EVENT,TYPE,HOURS
A16.170,MSN PLN,3
A16.180,CST 11,4
,,
TRAINING HOURS,,7
,,
DAY 162,,
EVENT,TYPE,HOURS
A17.080,MSN PLN,3
A17.090,CST 12,4
,,
,,
,,
,,
TRAINING HOURS,,7
,,
DAY 167,,
EVENT,TYPE,HOURS
A18.020,SAC K,8
,,
,,
TRAINING HOURS,,8
,,
DAY 172,,
EVENT,TYPE,HOURS
A18.100,MSN PLN,3
A18.110,AC PRE-,5
,NATOPS,
,,
,,
TRAINING HOURS,,8
,,
,,
,,
,,
,,
,,
DAY 3,,
EVENT,TYPE,HOURS
Fire Fighting,LAB,8
CIN: J-495-0413,,
,,
,,
TRAINING HOURS,,8
,,
DAY 8,,
EVENT,TYPE,HOURS
A2.010,CAI,2
A2.020,ICW,2
A2.030,ICW,2
A2.040,ICW,2
TRAINING HOURS,,8
,,
DAY 13,,
EVENT,TYPE,HOURS
A2.180,IGR,3
A2.190,ICW,3
A2.200,ICW,2
,,
TRAINING HOURS,,8
,,
DAY 18,,
EVENT,TYPE,HOURS
A3.030,ICW,3
A3.040,ICW,2
A3.050,ICW,3
TRAINING HOURS,,8
,,
DAY 23,,
EVENT,TYPE,HOURS
A3.120,IGR,3
A4.010,ICW,1
A4.020,CAI,2
A4.030,ICW,2
TRAINING HOURS,,8
,,
DAY 28,,
EVENT,TYPE,HOURS
A4.150,MSN PLN,3
A4.160,AC FAM 1,5
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 33,,
EVENT,TYPE,HOURS
A5.060,ICW,1
A5.070,ICW,1
A5.080,ICW,2
A5.090,ICW,2
A5.100,ICW,2
,,
TRAINING HOURS,,8
,,
DAY 38,,
EVENT,TYPE,HOURS
A5.260,MSN PLN,3
A5.270,AC SAR 1,5
,,
,,
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 43,,
EVENT,TYPE,HOURS
A5.520,MSN PLN,3
A5.530,AC SAR 4/4N,5
,,
,,
TRAINING HOURS,,8
,,
DAY 48,,
EVENT,TYPE,HOURS
A5.500,LAB,5
A5.510,IGR,3
,,
,,
TRAINING HOURS,,8
,,
DAY 53,,
EVENT,TYPE,HOURS
A6.090,MSN PLN,3
A6.100,NATS UTIL 1,3
,CARGO OPS,
,,
TRAINING HOURS,,6
,,
DAY 58,,
EVENT,TYPE,HOURS
A6.200,IGR,3
A6.210,ICW,2
A6.220,CAI,2
,,
TRAINING HOURS,,7
,,
DAY 63,,
EVENT,TYPE,HOURS
A14.120,MSN PLN,3
A14.130,DIP SIM 3,4
,,
,,
,,
TRAINING HOURS,,7
,,
DAY 68,,
EVENT,TYPE,HOURS
A7.150,MSN PLN,3
A7.160,WTT 1,4
,,
TRAINING HOURS,,7
,,
DAY 73,,
EVENT,TYPE,HOURS
A7.250,PTT 3,2
A7.260,PTT 4,2
,,
,,
TRAINING HOURS,,4
,,
DAY 78,,
EVENT,TYPE,HOURS
A8.050,CAI,2.5
A8.060,CAI,2
A8.070,JMPS 3,1
,,
A8.080,PTT 5,
TRAINING HOURS,,5.5
,,
DAY 83,,
EVENT,TYPE,HOURS
A8.140,MSN PLN,3
A8.150,WTT EW,4
,,
,,
A8.200,PTT 7,
TRAINING HOURS,,7
,,
DAY 88,,
EVENT,TYPE,HOURS
A9.045,ICW,2
A9.050,ICW,1.5
A9.055,CAI,1.5
,,
,,
,,
TRAINING HOURS,,5
,,
DAY 93,,
EVENT,TYPE,HOURS
A9.145,MSN PLN,3
A9.155,NATS TACFORM,3
,,
,,
,,
,,
TRAINING HOURS,,6
,,
DAY 98,,
EVENT,TYPE,HOURS
A9.320,MSN PLN,3
A9.330,NATS GAU 1,3
,,
,,
,,
,,
TRAINING HOURS,,6
,,
DAY 103,,
EVENT,TYPE,HOURS
A9.380,POST-FIRES,4
A9.390,IGR,3
A9.400,CRT,0.5
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 108,,
EVENT,TYPE,HOURS
A10.120,MSN PLN,3
A10.130,WTT 9,4
,,
TRAINING HOURS,,7
,,
DAY 113,,
EVENT,TYPE,HOURS
A10.200,IGR,3
A10.210,PT,4
A10.220,CRT,0.5
,,
TRAINING HOURS,,7.5
,,
DAY 118,,
EVENT,TYPE,HOURS
A11.150,IMAT,1
A11.160,CAI,2
A11.170,CAI,2
A11.180,IMAT,3
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 123,,
EVENT,TYPE,HOURS
A12.170,MSN PLN,3
A12.180,WTT 11,4
,,
,,
TRAINING HOURS,,7
,,
DAY 128,,
